STAT3	Interstitial lung and liver disease	
CCR8	airway disease	
CCR1	airway disease	
VEGFA	stage, non-small cell lung cancer	
IFNG	Interstitial lung and liver disease	
CXCR4	airway disease	
CSF2	stage, non-small cell lung cancer	
IL2RA	Interstitial lung and liver disease	
AKT1	stage, non-small cell lung cancer	
C3	airway disease	
CCR3	airway disease	
CXCR2	airway disease	
IL4	Interstitial lung and liver disease	
EGFR	stage, non-small cell lung cancer	
CCR4	airway disease	
KRAS	stage, non-small cell lung cancer	
CCL5	airway disease	
PTGDR2	airway disease	
CXCL8	airway disease	
ERBB2	stage, non-small cell lung cancer	
FGFR1	stage, non-small cell lung cancer	
TAS2R38	airway disease	
FGF2	ERLIN2	0.855009540709891	
FCGR2A	VAV1	0.8468891025876341	
EGFR	FGFR1	0.857607030791991	
VEGFA	PTK2B	0.8549476386052599	
FCGR1A	IGLV1-51	0.8622716890165686	
ERBB4	GFRA1	0.8372883840480309	
P2RY12	P2RY4	0.8354005520686607	
Afatinib	ABCG2	1	
TAP1	CALR	0.8414971201616808	
FGF1	PIK3CD	0.8513157657742707	
JAK2	YES1	0.8499089801634054	
IFNGR1	JAK2	0.8595222608249842	
ERBB4	FGF10	0.8601235081501506	
HCAR3	RXFP4	0.8354005520686607	
FCGR2A	IGHV3-33	0.8622716890165686	
FCGR1A	V2-15	0.8622716890165686	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
EGFR	PICALM	0.8628338709774962	
CYP2C9	rs28371685	0.99	
EGFR	BTC	0.8693683183476757	
JAK3	SOS1	0.8678174247689815	
FGF1	CD80	0.8513157657742707	
EGFR	ARPC3	0.8628338709774962	
VEGFA	rs879825	0.99	
P2RY12	TAS2R30	0.8354005520686607	
P2RY12	CCL21	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFD	0.8638247395845513	
FKBP1A	TGFBR2	0.8560021777996374	
JAK3	IL2RA	0.8648592363441413	
FGF2	SHC3	0.8513157657742707	
FGF2	CAMK2B	0.853898073011433	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
P2RY12	DRD3	0.8354005520686607	
UGT1A	rs10929303	0.9320653479069899	
rs8330	UGT1A1	0.96059601	
HCAR2	CXCL3	0.8407682499807351	
MTOR	RRAGB	0.860731353523066	
HCAR3	TAS2R8	0.8354005520686607	
VEGFA	ITGB3	0.8557214641066988	
HCAR3	OPRL1	0.8354005520686607	
HCAR2	MT-RNR2	0.8459813396079446	
HCAR2	BDKRB2	0.8354005520686607	
FMO3	rs2266780	0.99	
ERBB4	PIK3R1	0.8672176483417899	
PDGFRB	PIK3R2	0.8492966271403907	
FGF1	FGF19	0.8693631322176066	
ERBB4	DIAPH1	0.8197146809151086	
PDGFRB	FGF22	0.855946747881349	
ERBB4	IRS2	0.847975029345742	
PTK6	ERBB3	0.8633557898536034	
ERBB2	FGF2	0.8655209368590407	
FGF1	SPTBN5	0.853898073011433	
HCAR2	C5AR1	0.8354005520686607	
EGFR	AAK1	0.865611713402943	
FGFR3	GAB1	0.8650510186165065	
FCGR1A	V1-7	0.8622716890165686	
ERBB2	FGF22	0.8610963123912945	
FGF1	NRTN	0.855946747881349	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT10	0.8638247395845513	
MTOR	LAMTOR5	0.860731353523066	
HCAR3	HTR1E	0.8354005520686607	
FCGR1A	V1-16	0.8622716890165686	
P2RY12	NMU	0.8407682499807351	
Lapatinib	TAP1	1	
HCAR3	PYY	0.833320481754769	
MET	IL2RA	0.8281207788973212	
SLC47A1	rs2289669	0.99	
HCAR3	ADORA3	0.8354005520686607	
JAK2	IL6ST	0.8448687443032323	
FGFR3	PIK3R2	0.8413177913220824	
EGFR	UBB	0.8665736784466054	
P2RY12	BDKRB2	0.8354005520686607	
CYP2D6	CYP2D6*10, CYP2D6*2	0.99	
FGF1	GFRA3	0.855946747881349	
P2RY12	CXCL9	0.8407682499807351	
FGFR3	PDGFRA	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.8638247395845513	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.8775210229989678	
FCGR2A	VAV2	0.8468891025876341	
CYP2C9	CYP2C9*1, CYP2C9*3, CYP2C9*8	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NLRC4	0.8638247395845513	
JAK2	CAMK2A	0.8354005520686607	
MET	CSF2RB	0.8281207788973212	
HCAR3	CCL16	0.8407682499807351	
rs12721627	CYP3A4	0.92274469442792	
UGT1A8	rs1042597	0.8775210229989678	
CYP3A4	rs4646437	0.9135172474836407	
EGFR	rs2227983	0.99	
CYP3A4	rs35599367	0.8775210229989678	
HCAR3	PF4	0.8407682499807351	
UGT1A9	rs11692021	0.8953382542587163	
SLCO1B1	rs2900478	0.99	
FGF2	GAB1	0.8694883172424577	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TLN2	0.8638247395845513	
FCGR3A	IGKV1D-16	0.8631759289499149	
EGFR	SPRY1	0.8390083934738375	
Osimertinib	ABCB1	1	
FCGR1A	IGKV1-5	0.8622716890165686	
CYP19A1	rs2236722	0.99	
TEK	SOS1	0.8676677067435474	
EGFR	WNT5A	0.863443159858049	
CYP2D6	rs1080985	0.99	
FGF2	IRS1	0.8638403979636339	
FCGR2A	IGLV3-27	0.8622716890165686	
CYP2C19	rs3814637	0.99	
FGF2	GFRA4	0.855946747881349	
CYP3A4	rs35599367	0.9509900498999999	
SLCO1B1	SLCO1B1*15, SLCO1B1*18, SLCO1B1*1A, SLCO1B1*1B, SLCO1B1*5, SLCO1B1*9	0.99	
FCGR3A	IGLV6-57	0.8631759289499149	
Pazopanib	FLT1	1	
UGT1A	rs11563250	0.9702989999999999	
HCAR3	RXFP3	0.8354005520686607	
JAK1	CNTF	0.8248354829013484	
JAK2	SOS1	0.8678174247689815	
HCAR3	ADORA1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT13	0.8638247395845513	
PDGFRA	FGF8	0.8638403979636339	
ERBB2	PTK6	0.8633557898536034	
ERBB2	PDGFRA	0.8513157657742707	
FCGR2A	V1-7	0.8622716890165686	
CYP2D6	CYP2D6*1, CYP2D6*29	0.99	
VEGFA	BCAR1	0.8532543843767528	
ERBB2	PTPN18	0.842023951637581	
FGFR3	BTC	0.853898073011433	
HCAR3	P2RY4	0.8354005520686607	
PDGFRA	HRAS	0.852724204446584	
FCGR1A	FCGR2A	0.8580060915991022	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC1A5	0.8638247395845513	
FCGR2A	V2-8	0.8622716890165686	
ERBB4	GAB1	0.8610963123912945	
FCGR2A	SYK	0.8613101570521862	
FCGR2A	V1-16	0.8622716890165686	
UGT1A6	UGT1A6*1a, UGT1A6*2a, UGT1A6*3a, UGT1A6*4a, UGT1A6*8	0.8775210229989678	
FGF1	CSF2	0.853898073011433	
FGF2	GFRA3	0.855946747881349	
FGFR3	GDNF	0.8281207788973212	
CYP3A4	rs4986910	0.8775210229989678	
HCAR2	GNG2	0.8526462282435747	
HCAR2	TAS2R4	0.8354005520686607	
P2RY12	PF4	0.8407682499807351	
FGF1	PIK3AP1	0.8513157657742707	
Pazopanib	CYP2C8	1	
JAK1	IL10RB	0.8451548535446745	
HCAR2	HTR1F	0.8354005520686607	
ERBB2	TRAT1	0.8281207788973212	
FCGR2A	IGHV3-13	0.8622716890165686	
FGF1	SPTB	0.853898073011433	
ERBB2	FGF10	0.8610963123912945	
EGFR	DAB2	0.863443159858049	
ERBB4	KRAS	0.860155337427376	
JAK1	JAK2	0.8679978761878211	
EGFR	GRB2	0.8710278662288428	
Niacin	SLC22A5	1	
ERBB4	FGFR4	0.853898073011433	
KIT	FGF2	0.8638403979636339	
EGFR	SRC	0.8520838925573979	
FGF2	MAPK3	0.8480904465605648	
FCGR3A	IGKV3D-20	0.8631759289499149	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:x6cpThd263Mg5MI1OElxwfuSmiY9606	0.8638247395845513	
FGF2	PDGFRA	0.8638403979636339	
UGT1A6	rs6759892	0.8775210229989678	
CYP1A2	MGST2	0.792109822701367	
HCAR3	S1PR1	0.8252219011119977	
UGT1A1	rs8175347	0.9509900498999999	
ERBB2	PIK3R2	0.8435102388865442	
FGFR3	ERBB2	0.855946747881349	
FGF1	ANGPT1	0.853898073011433	
FGF2	BCR	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF292	0.8638247395845513	
FCGR2A	IGKV2D-28	0.8622716890165686	
HCAR2	P2RY14	0.8354005520686607	
HCAR3	CCR2	0.8354005520686607	
ABCB1	rs4148737	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:xz86zyvibNFDhT+J8v28Znx5/2M9913	0.8638247395845513	
EGFR	ACTR2	0.8628338709774962	
UGT1A1	rs8175347	0.8775210229989678	
ERBB4	IL3	0.8281207788973212	
FGFR3	FGF20	0.8697191396321272	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT6A	0.8638247395845513	
PDGFRA	KLB	0.8435102388865442	
ERBB4	FGFR3	0.853898073011433	
FGF1	IL2RG	0.853898073011433	
PDGFRB	FGF16	0.8610963123912945	
FGF1	CD19	0.8513157657742707	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*5	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RANBP3	0.8638247395845513	
FCGR2A	IGKV2-28	0.8622716890165686	
HCAR3	NPY4R	0.8252219011119977	
JAK2	PIK3CB	0.8368330405128926	
JAK2	CLCF1	0.8248354829013484	
FCGR3A	V4-1	0.8631759289499149	
CYP3A4	CYP3A4*1, CYP3A4*22	0.9135172474836407	
PDGFRA	PDGFRB	0.868927482007404	
HCAR3	OXER1	0.8252219011119977	
FGF1	ACTN2	0.853898073011433	
JAK1	IFNA14	0.8622496297868503	
JAK3	JAK3	0.865700092590907	
EGFR	FGF8	0.8658423074095727	
FCGR3A	IGLV1-44	0.8631759289499149	
Pazopanib	PDGFRA	1	
FGFR3	PLCG1	0.8558909648136892	
MET	PSPN	0.8372883840480309	
MET	PTPN11	0.8452958729825284	
P2RY12	CXCR6	0.8354005520686607	
PDGFRA	FGF9	0.8638403979636339	
HCAR2	C5	0.8407682499807351	
FCGR3A	IGKV2D-40	0.8631759289499149	
FCGR2A	IGKV1D-16	0.8622716890165686	
C1QA	C1R	0.8396144291374222	
FCGR1A	IGHV4-39	0.8622716890165686	
FCGR3A	V5-1	0.8631759289499149	
P2RY12	GRM6	0.8252219011119977	
Sirolimus	FKBP1A	1	
FCGR2A	V4-1	0.8622716890165686	
HCAR2	GABBR2	0.8252219011119977	
ERBB2	FRS2	0.8638403979636339	
FGF1	FGF8	0.8711387031818277	
FCGR1A	V2-17	0.8622716890165686	
EGFR	AVP	0.863443159858049	
FGF2	PIK3R2	0.8584669291223378	
CFH	rs800292	0.8551864921887058	
HCAR3	GRM4	0.8252219011119977	
CYP2C9	rs71486745	0.99	
ERBB4	PIK3CB	0.8372883840480309	
FGF1	JAK1	0.853898073011433	
UGT1A1	rs887829	0.8775210229989678	
ERBB2	GRIN2C	0.8281207788973212	
EGFR	DNAJC6	0.851137711762708	
Trastuzumab	FCGR2B	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	IGDCC4	0.8638247395845513	
P2RY12	GABBR1	0.8252219011119977	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*3, CYP2D6*4	0.99	
JAK2	IFNG	0.860343039361049	
ERBB2	RASGRF2	0.8281207788973212	
MET	PIK3R1	0.8652992581574616	
VEGFA	rs6900017	0.99	
UGT1A1	rs4148323	0.99	
UGT1A1	rs887829	0.9509900498999999	
HCAR3	S1PR2	0.8252219011119977	
P2RY12	rs6809699	0.99	
JAK2	FYN	0.855071032805086	
FCGR1A	IGKV1-33	0.8622716890165686	
FGFR3	PIK3R1	0.8672119452406968	
HCAR3	TAS2R9	0.8354005520686607	
KIT	FYN	0.8652553874900422	
Vandetanib	ORM1	1	
FGF2	PIK3CA	0.8694355050132356	
EGFR	SYT1	0.8628338709774962	
HCAR3	TAS2R14	0.8354005520686607	
MTOR	LAMTOR4	0.860731353523066	
FGF2	ICOS	0.853898073011433	
PDGFRB	FGF23	0.8638403979636339	
P2RY12	GRM2	0.8252219011119977	
SLC22A5	rs2631367	0.99	
FCGR1A	IGHV3-48	0.8622716890165686	
P2RY12	TAS2R60	0.8354005520686607	
CYP2B6	rs12721655	0.99	
FCGR3A	V3-4	0.8631759289499149	
MET	CAMK2G	0.8281207788973212	
HCAR2	GNB1	0.8526462282435747	
CYP2C9	rs9332239	0.99	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3	0.99	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2	0.99	
FCGR1A	V5-1	0.8622716890165686	
FGFR3	FGFR4	0.8513157657742707	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	uniprotkb:P01857	0.8638247395845513	
KDR	PIK3CB	0.8468891025876341	
ABCC1	rs45511401	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	THRAP3	0.8638247395845513	
ITK	PLCG1	0.8622716890165686	
HCAR3	NPBWR1	0.8354005520686607	
FGF1	FGF1	0.8711562671552332	
CES1	rs2244613	0.99	
JAK2	IL3RA	0.865531144445342	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*4	0.99	
ERBB4	PSENEN	0.8505864487536049	
PDGFRA	FGF22	0.855946747881349	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NCOA3	0.8638247395845513	
APOC1	rs429358	0.8551864921887058	
CYP2D6	CYP2D6*10, CYP2D6*14, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6, CYP2D6*7	0.99	
JAK2	CNTF	0.8248354829013484	
MET	PIK3CA	0.8652992581574616	
P2RY12	rs9859552	0.99	
MTOR	RRAGC	0.860731353523066	
MET	PDGFA	0.8372883840480309	
FCGR1A	IGLV1-47	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SH3BP5	0.8638247395845513	
FCGR3A	IGHV3-7	0.8631759289499149	
CYP2C8	rs11572080	0.99	
CYP2D6	CYP2D6*1, CYP2D6*100, CYP2D6*101, CYP2D6*13, CYP2D6*2, CYP2D6*31, CYP2D6*4, CYP2D6*5, CYP2D6*69	0.99	
FCGR2A	IGKV2D-40	0.8622716890165686	
HCAR2	ADRA2B	0.8252219011119977	
rs2740574	CYP3A	0.9043820750088043	
PDGFRB	FGFR2	0.8435102388865442	
FGF2	SOS1	0.8698922095722557	
EGFR	FCHO1	0.8541713484689148	
CYP2C8	rs11572103	0.99	
APOC1	rs7412	0.8551864921887058	
KDR	CDC42	0.8483182916706136	
C1R	C1QB	0.8396144291374222	
PDGFRB	FGF17	0.8638403979636339	
P2RY12	GALR2	0.8252219011119977	
FGF2	EGFR	0.8658423074095727	
HCAR3	GRM2	0.8252219011119977	
EGFR	GDNF	0.847975029345742	
ALB	FABP6	0.8421959353175904	
FGF1	PDGFB	0.8638403979636339	
UGT1A1	rs10929303	0.99	
FCGR1A	IGLV3-25	0.8622716890165686	
FMO3	rs1736557	0.99	
HCAR3	CASR	0.8354005520686607	
PTK6	ERBB4	0.8633557898536034	
FGFR3	FGF6	0.8626533706911382	
Lapatinib	ERBB2	1	
FGF2	PLCG1	0.8689741205090207	
KIT	FGF17	0.8638403979636339	
PDGFRB	SHC1	0.8601235081501506	
HCAR3	CXCR6	0.8354005520686607	
HCAR2	INSL5	0.8407682499807351	
JAK2	PRLR	0.8573291716928689	
SLCO1B1	SLCO1B1*14, SLCO1B1*1A	0.99	
Tofacitinib	JAK3	1	
CYP3A4	rs4987161	0.9509900498999999	
EGFR	CLTCL1	0.8654065929327814	
CYP2D6	rs28360521	0.99	
JAK3	JAK1	0.8674301889305229	
HCAR3	TAS2R19	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HP	0.8638247395845513	
P2RY12	KNG1	0.8407682499807351	
P2RY12	rs6785930	0.99	
HCAR3	CORT	0.8407682499807351	
HCAR3	PENK	0.8407682499807351	
HCAR2	RLN3	0.8459813396079446	
HCAR2	SAA1	0.8407682499807351	
FCGR3A	IGHV3-48	0.8631759289499149	
FCGR3A	IGKV2-28	0.8631759289499149	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTAGE5	0.8638247395845513	
EGFR	PTPRA	0.8435102388865442	
KIT	NRG1	0.8513157657742707	
FGF1	FGFR1	0.8702045334767963	
Pazopanib	FLT4	1	
HCAR2	CCR7	0.8354005520686607	
FGF2	CD28	0.8513157657742707	
EGFR	KL	0.857607030791991	
HCAR2	LPAR1	0.8252219011119977	
FCGR2A	IGKV1-39	0.8622716890165686	
VEGFA	rs833069	0.99	
ITK	GRAP2	0.8617879888471688	
EGFR	SYT2	0.8628338709774962	
HCAR3	GNAT3	0.8526462282435747	
MET	FGFR4	0.847975029345742	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*21, CYP2D6*36, CYP2D6*4, CYP2D6*5	0.99	
PDGFRA	FGFR2	0.8435102388865442	
HCAR2	NMUR1	0.8354005520686607	
JAK1	IFNB1	0.8622496297868503	
MET	IRS1	0.8372883840480309	
HCAR3	TAS2R38	0.8354005520686607	
FGF2	RASGRP3	0.8513157657742707	
SLCO1B1	rs11045821	0.99	
P2RY12	HTR5A	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*22	0.99	
FGF1	ERBB4	0.8651659866513213	
HCAR3	P2RY13	0.8354005520686607	
ABCB1	rs2235015	0.99	
HCAR2	LPAR2	0.8252219011119977	
UGT1A1	rs4124874	0.99	
Trastuzumab Emtansine	CYP3A5	1	
ABCB1	rs2032583	0.99	
ABCG2	rs41282401	0.99	
FCGR1A	IGLV6-57	0.8622716890165686	
UGT1A1	UGT1A1*60	0.8775210229989678	
P2RY12	GPR55	0.8354005520686607	
P2RY12	RXFP3	0.8354005520686607	
CYP2B6	rs8192719	0.99	
ERBB2	IL3	0.8281207788973212	
EGFR	CSF2RB	0.8435102388865442	
MET	GRB2	0.87025925273164	
JAK1	GRB2	0.868159876904875	
EGFR	ACTR3	0.8628338709774962	
CYP2D6	CYP2D6*1, CYP2D6*5, CYP2D6*8	0.99	
JAK3	IL2RB	0.8648592363441413	
P2RY12	TAS2R13	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SORBS3	0.8638247395845513	
Vandetanib	ABCG2	1	
FGFR3	FGFR3	0.8695146517877175	
FCGR3A	P0CG05	0.8631759289499149	
FCGR3A	V1-5	0.8631759289499149	
HCAR2	GRM6	0.8252219011119977	
FCGR3A	IGLV2-11	0.8631759289499149	
rs10929303	UGT1A1	0.8863848717161291	
EGFR	RAB5A	0.8129393082389929	
FGF1	TEK	0.853898073011433	
FGF2	CALM3	0.853898073011433	
FGF2	NRTN	0.855946747881349	
ERBB4	HBEGF	0.8697944966507414	
JAK2	IFNGR2	0.8583852361794637	
HCAR3	P2RY14	0.8354005520686607	
HCAR3	CXCL9	0.8407682499807351	
ERBB2	FGF4	0.8655209368590407	
FCGR3A	SYK	0.8613101570521862	
FGF1	HBEGF	0.8655209368590407	
FCGR3A	IGLV1-47	0.8631759289499149	
EGFR	rs121434568	0.99	
JAK1	IL3	0.8281207788973212	
ERBB2	CSF2	0.8281207788973212	
PDGFRB	FGF4	0.8638403979636339	
P2RY12	GALR3	0.8252219011119977	
EGFR	FGF1	0.8658423074095727	
EGFR	JAK3	0.8435102388865442	
Niacin	SLC16A3	1	
MET	FGF9	0.8643329280224298	
FGFR3	HGF	0.847975029345742	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR3A2	0.8638247395845513	
PDGFRB	PTPN11	0.852328492927923	
SLCO1B1	rs11045879	0.99	
HCAR3	TAS2R43	0.8354005520686607	
FCGR3A	IGHG3	0.8614909610942352	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT1	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT14	0.8638247395845513	
FCGR2A	V5-4	0.8622716890165686	
FCGR2A	FCGR2A	0.8580060915991022	
CYP3A4	rs2246709	0.8775210229989678	
Trastuzumab	C1QC	1	
ERBB4	GRIN2D	0.8281207788973212	
FMO3	rs2266782	0.99	
UGT1A9	rs17868320	0.8953382542587163	
P2RY12	CCR4	0.8354005520686607	
APOB	rs676210	0.8542055322677212	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ADRA1B	0.8638247395845513	
KIT	FGF9	0.8638403979636339	
PDGFRB	PDGFA	0.8692358410966403	
CYP3A	rs12721627	0.8953382542587163	
HCAR3	GPER1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	LAT	0.8638247395845513	
FCGR1A	IGKV3D-20	0.8622716890165686	
IFNGR1	IFNG	0.860343039361049	
KDR	PIK3CA	0.8468891025876341	
Interferon Gamma-1b	CYP1A2	1	
FGF1	FGF9	0.8711460506590507	
VEGFA	rs25648	0.99	
FGFR3	PSPN	0.8281207788973212	
PDGFRA	BTC	0.847975029345742	
HCAR2	AGTR2	0.8354005520686607	
FGF2	GRIN2D	0.853898073011433	
FCGR1A	FCGR3A	0.8580060915991022	
CYP3A4	rs4646440	0.9509900498999999	
EGFR	RASGRF1	0.8435102388865442	
FGFR3	FGF2	0.8695419162896381	
KDR	NCK2	0.8570412853760152	
HCAR2	CXCL6	0.8459813396079446	
JAK2	IL2RA	0.8281207788973212	
HCAR3	LPAR1	0.8252219011119977	
rs8330	UGT1A9	0.9801	
FGF1	FGF22	0.8705030387073724	
FGFR3	GFRA4	0.8281207788973212	
MET	GRIN2C	0.8281207788973212	
JAK3	STAT5B	0.8556642356373598	
P2RY12	PTGDR2	0.8252219011119977	
KDR	ROCK1	0.8252219011119977	
FGF2	GRB2	0.870916943933636	
HCAR2	C3	0.8407682499807351	
PDGFRA	FGF10	0.855946747881349	
HCAR2	PF4	0.8407682499807351	
JAK2	PIK3R1	0.8368330405128926	
KIT	GRB2	0.8691409949866795	
CYP1A2	rs2472304	0.99	
FCGR2A	IGKV	0.8622716890165686	
HCAR2	BDKRB1	0.8354005520686607	
rs8330	UGT1A9	0.9043820750088043	
PDGFRA	CRKL	0.8319100629186602	
CYP2C19	CYP2C19*1, CYP2C19*10, CYP2C19*11, CYP2C19*13, CYP2C19*14, CYP2C19*15, CYP2C19*16, CYP2C19*18, CYP2C19*19, CYP2C19*26, CYP2C19*9	0.99	
VEGFA	ROCK1	0.8252219011119977	
FGF1	BCR	0.8252219011119977	
UGT1A1	UGT1A1*1, UGT1A1*28, UGT1A1*37, UGT1A1*6	0.99	
JAK1	STAT5B	0.8556642356373598	
MET	FRS3	0.847975029345742	
ERBB2	FGF18	0.8638403979636339	
FGF1	GAB1	0.8694883172424577	
P2RY12	HTR1D	0.8354005520686607	
P2RY12	CNR2	0.8354005520686607	
KIT	SRC	0.8639651892799458	
ERBB4	HGF	0.8513157657742707	
FGFR3	KIT	0.8435102388865442	
KIT	PIK3R1	0.8660574854133956	
PTK6	ERBB2	0.8633557898536034	
MET	RAPGEF1	0.8197146809151086	
PDGFRB	PDGFRA	0.868927482007404	
FCGR2A	IGKV3-15	0.8622716890165686	
FGFR3	FGF19	0.8513157657742707	
PDGFRA	FGF3	0.855946747881349	
Lapatinib	CYP2C19	1	
PTK6	EGFR	0.865795589821083	
FGF1	RET	0.855946747881349	
ERBB4	FGF8	0.8651659866513213	
CYP2C19	CYP2C19*1, CYP2C19*2, CYP2C19*3, CYP2C19*4, CYP2C19*5, CYP2C19*6, CYP2C19*8	0.99	
P2RY12	CCL5	0.8407682499807351	
HCAR2	TAS2R5	0.8354005520686607	
FCGR1A	SYK	0.8613101570521862	
PTK6	EGF	0.8633557898536034	
FCGR3A	IGKV2D-28	0.8631759289499149	
HCAR3	AGT	0.8407682499807351	
ABCB1	rs3789243	0.99	
FGFR3	HRAS	0.8590143683516748	
HCAR3	HRH3	0.8354005520686607	
P2RY12	MT-RNR2	0.8459813396079446	
MET	FGFR3	0.847975029345742	
EGFR	NEFL	0.8435102388865442	
FCGR1A	IGHV3-23	0.8622716890165686	
ERBB2	DIAPH1	0.8197146809151086	
PDGFRA	PIK3CB	0.8492966271403907	
FCGR3A	IGHV2-5	0.8631759289499149	
HCAR3	ACKR3	0.8354005520686607	
P2RY12	TAS2R20	0.8354005520686607	
FCGR1A	V4-1	0.8622716890165686	
FGF2	SPTBN1	0.853898073011433	
MET	GFRA4	0.8372883840480309	
EGFR	M6PR	0.8628338709774962	
ERBB2	NRG1	0.8700016288197234	
JAK2	CAMK2D	0.8354005520686607	
HCAR2	TAS2R9	0.8354005520686607	
JAK3	IL4	0.842023951637581	
HCAR2	CCR1	0.8354005520686607	
EGFR	SH3KBP1	0.8667498766278202	
EGFR	FGF9	0.8658423074095727	
HCAR3	C5	0.8407682499807351	
HCAR2	KNG1	0.8407682499807351	
P2RY12	TAS2R31	0.8354005520686607	
TEK	ANGPT1	0.8619541249075027	
JAK1	IFNA4	0.8622496297868503	
FCGR3A	V2-8	0.8631759289499149	
EGFR	HGS	0.8665370616181098	
UGT1A9	rs3806598	0.8953382542587163	
ERBB4	PIK3R2	0.8372883840480309	
FGF2	FGF9	0.8711213066779037	
FGF2	GRIN2A	0.853898073011433	
Vandetanib	CYP3A4	1	
FGF1	JAK3	0.853898073011433	
UGT1A1	rs10929303	0.9509900498999999	
FGF2	FGF19	0.8693631322176066	
ERBB2	KL	0.855946747881349	
P2RY12	CCR3	0.8354005520686607	
HCAR2	PPBP	0.8407682499807351	
MET	BTC	0.8513157657742707	
IL2	rs6822844	0.8453590922813186	
JAK2	IL2RG	0.8554315896386415	
FCGR1A	IGLV3-27	0.8622716890165686	
P2RY12	TAS2R1	0.8354005520686607	
ERBB2	PDGFRB	0.8513157657742707	
P2RY12	C5	0.8407682499807351	
ERBB4	FGF4	0.8651659866513213	
P2RY12	GPR18	0.8354005520686607	
ERBB4	SOS1	0.8687887932788068	
EGFR	AKAP9	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DCD	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
FCGR3A	CD247	0.8595571341704282	
FCGR1A	IGKV3-20	0.8622716890165686	
FCGR3A	V1-16	0.8631759289499149	
FCGR1A	V1-20	0.8622716890165686	
FCGR2A	IGLV1-51	0.8622716890165686	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
HCAR2	OPRL1	0.8354005520686607	
FGF2	NRAS	0.8680533572816113	
HCAR3	AGTR2	0.8354005520686607	
HCAR2	CXCR2	0.8354005520686607	
FCGR3A	V4-2	0.8631759289499149	
FGF1	IL5	0.853898073011433	
EGFR	DNM2	0.8621379174857935	
FCGR2A	IGHV2-5	0.8622716890165686	
Tofacitinib	JAK1	1	
FGF2	HRAS	0.8680533572816113	
JAK1	IFNGR2	0.8595222608249842	
ERBB2	FGF3	0.8610963123912945	
EGFR	MET	0.855946747881349	
VEGFA	NCK2	0.8570412853760152	
JAK1	SOS1	0.8678174247689815	
